text,summary
"The apps 'Photo&Video', 'Photo&Video', 'Utilities', 'Photo&Video', 'Utilities', 'Photo&Video', 'Utilities', 'Photo&Video', 'Utilities', 'Photo&Video', 'Utilities', 'Photo&Video', 'Utilities', 'Photo&Video', 'Photo&Video'  are used prior to the prediction. On Friday 04 PM. This user is close to Hotel ,Business affairs ,Residence ,Government ,Shopping ,Restaurant and Education","Based on the global information, the next app will be a Photo&Video app (67.0%), Utilities app (33.0%). "
"The apps 'Social_Networking', 'Social_Networking', 'Social_Networking', 'Music', 'Social_Networking', 'Social_Networking', 'Music', 'Social_Networking', 'Music', 'Social_Networking', 'Lifestyle', 'Social_Networking', 'Music', 'Social_Networking', 'Music'  are used prior to the prediction. On Saturday 08 PM. This user is close to Business affairs and Residence","Based on the global information, the next app will be a Social_Networking app (100.0%). "
"The apps 'Social_Networking', 'Social_Networking', 'Social_Networking', 'Social_Networking', 'Social_Networking', 'Social_Networking', 'Social_Networking', 'Social_Networking', 'Social_Networking', 'Social_Networking', 'Social_Networking', 'Social_Networking', 'Music', 'Social_Networking', 'Social_Networking'  are used prior to the prediction. On Thursday 04 PM. This user is close to Hotel ,Business affairs ,Residence ,Entertainment and leisure ,Government ,Factory ,Shopping ,Restaurant and Landmark","Based on the global information, the next app will be a Social_Networking app (100.0%). "
"The apps 'Social_Networking', 'Lifestyle', 'Lifestyle', 'Lifestyle', 'Social_Networking', 'Social_Networking', 'Utilities', 'Lifestyle', 'Utilities', 'Lifestyle', 'Social_Networking', 'Lifestyle', 'Utilities', 'Utilities', 'Utilities'  are used prior to the prediction. On Saturday 03 PM. This user is close to Business affairs ,Shopping and Restaurant","Based on the global information, the next app will be a Lifestyle app (100.0%). "
"The apps 'Utilities', 'Utilities', 'Utilities', 'Utilities', 'Utilities', 'Utilities', 'Utilities', 'Utilities', 'Utilities', 'Utilities', 'Utilities', 'Utilities', 'Utilities', 'Utilities', 'Utilities'  are used prior to the prediction. On Friday 09 AM. This user is close to Hotel ,Culture and Restaurant","Based on the global information, the next app will be a Utilities app (97.0%), Social_Networking app (2.0%), News app (1.0%). "
"The apps Utilities, Lifestyle, Social_Networking, Photo&Video, Utilities, Social_Networking, Social_Networking, Social_Networking, Communication, Social_Networking, Utilities, Social_Networking, Utilities, Social_Networking, Social_Networking  are used prior to the prediction. On Monday 09 AM","Based on the global information, the next app will be a Social_Networking app (100.0%). "
"The apps 'Utilities', 'Lifestyle', 'Lifestyle', 'Lifestyle', 'Utilities', 'Lifestyle', 'Lifestyle', 'Lifestyle', 'Lifestyle', 'Lifestyle', 'Utilities', 'Lifestyle', 'Lifestyle', 'Lifestyle', 'Utilities'  are used prior to the prediction. On Sunday 03 PM. This user is close to Residence","Based on the global information, the next app will be a Lifestyle app (100.0%). "
"The apps Shopping, Communication, Shopping, Communication, Shopping, Communication, Shopping, Communication, Shopping, Communication, Shopping, Communication, Shopping, Communication, Shopping  are used prior to the prediction. On Saturday 11 PM","Based on the global information, the next app will be a Communication app (95.0%), Shopping app (5.0%). "
"The apps Utilities, Social_Networking, Utilities, Social_Networking, Communication, Social_Networking, Communication, Social_Networking, Communication, Social_Networking, Communication, Utilities, Communication, Utilities, Communication  are used prior to the prediction. On Saturday 10 PM","Based on the global information, the next app will be a Utilities app (100.0%). "
"The apps 'Social_Networking', 'Social_Networking', 'Social_Networking', 'Social_Networking', 'Social_Networking', 'Social_Networking', 'Social_Networking', 'Social_Networking', 'Social_Networking', 'Social_Networking', 'Social_Networking', 'Social_Networking', 'Social_Networking', 'Social_Networking', 'Social_Networking'  are used prior to the prediction. On Thursday 05 PM. This user is close to Residence","Based on the global information, the next app will be a Social_Networking app (96.0%), Utilities app (1.0%), Music app (1.0%). "
"The apps Photo&Video, Photo&Video, Photo&Video, Photo&Video, Photo&Video, Photo&Video, Photo&Video, Photo&Video, Photo&Video, Photo&Video, Photo&Video, Photo&Video, Photo&Video, Photo&Video, Photo&Video  are used prior to the prediction. On Monday 03 PM","Based on the global information, the next app will be a Photo&Video app (90.0%), Communication app (7.000000000000001%), Social_Networking app (3.0%). "
"The apps Utilities, Utilities, Utilities, Utilities, Utilities, Utilities, Utilities, Utilities, Utilities, Navigation, Utilities, Lifestyle, Lifestyle, Utilities, Lifestyle  are used prior to the prediction. On Wednesday 09 PM","Based on the global information, the next app will be a Utilities app (100.0%). "
"The apps Communication, Communication, Communication, Communication, Communication, Communication, Communication, Social_Networking, Communication, Social_Networking, Communication, Communication, Social_Networking, Communication, Social_Networking  are used prior to the prediction. On Wednesday 05 PM","Based on the global information, the next app will be a Communication app (100.0%). "
"The apps 'Sports', 'Sports', 'Sports', 'Sports', 'Sports', 'Sports', 'Sports', 'Sports', 'Sports', 'Sports', 'Sports', 'Sports', 'Sports', 'Sports', 'Sports'  are used prior to the prediction. On Saturday 07 AM. This user is close to Business affairs ,Residence and Education","Based on the global information, the next app will be a Sports app (96.0%), Social_Networking app (4.0%). "
"The apps Communication, Social_Networking, Communication, Social_Networking, Communication, Social_Networking, Communication, Social_Networking, Communication, Social_Networking, Communication, Social_Networking, Communication, Social_Networking, Communication  are used prior to the prediction. On Sunday 03 PM","Based on the global information, the next app will be a Social_Networking app (86.0%), Communication app (7.000000000000001%), Utilities app (2.0%). "
"The apps Communication, Communication, Communication, Communication, Communication, Navigation, Communication, Communication, Communication, Communication, Communication, Communication, Communication, Communication, Communication  are used prior to the prediction. On Tuesday 03 PM","Based on the global information, the next app will be a Communication app (100.0%). "
"The apps Photo&Video, Photo&Video, Photo&Video, Photo&Video, Photo&Video, Photo&Video, Photo&Video, Photo&Video, Photo&Video, Photo&Video, Photo&Video, Photo&Video, Photo&Video, Photo&Video, Photo&Video  are used prior to the prediction. On Tuesday 04 PM","Based on the global information, the next app will be a Photo&Video app (99.0%), Communication app (1.0%), Utilities app (0.0%). "
"The apps 'Utilities', 'Utilities', 'Utilities', 'Utilities', 'Utilities', 'Utilities', 'Utilities', 'Utilities', 'Utilities', 'Utilities', 'Utilities', 'Utilities', 'Social_Networking', 'Utilities', 'Utilities'  are used prior to the prediction. On Monday 09 AM. This user is close to Business affairs ,Government ,Factory ,Shopping and Landmark","Based on the global information, the next app will be a Utilities app (100.0%). "
"The apps Social_Networking, Utilities, Social_Networking, Utilities, Social_Networking, Utilities, Social_Networking, Utilities, Social_Networking, Utilities, Social_Networking, Utilities, Social_Networking, Utilities, Social_Networking  are used prior to the prediction. On Tuesday 06 AM","Based on the global information, the next app will be a Utilities app (95.0%), Communication app (5.0%). "
"The apps Social_Networking, Social_Networking, Utilities, Social_Networking, Utilities, Social_Networking, Utilities, Communication, Utilities, Communication, Utilities, Communication, Utilities, Communication, Utilities  are used prior to the prediction. On Tuesday 02 AM","Based on the global information, the next app will be a Communication app (100.0%). "
"The apps Shopping, Utilities, Utilities, Utilities, Utilities, Utilities, Utilities, Utilities, Utilities, Utilities, Utilities, Shopping, Shopping, Social_Networking, Communication  are used prior to the prediction. On Sunday 08 PM","Based on the global information, the next app will be a Social_Networking app (100.0%). "
